sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
141,1215,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 a8 00 76 ff c0 00 38 5d 22 f0 c4 9e 89 91 59 1d 1e 90 80 00 00 00 02 f6 57 40 00 00 a7 32 b0 f1 07 e3 52 af fd fd 00 00 00 80",""
142,1219,"PACKET","OUT",203,32,"AimSync","id=203 bytes=32","cb 00 00 00 39 05 00 00 00 00 00 00 00 00 00 00 00 40 01 00 00 00 80 3f 00 00 f3 04 b5 3f 39 05",""
143,1238,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 ab 00 75 3f c0 00 08 dc e2 f0 c9 5e 89 91 54 1d 1e 90 80 00 00 00 00 26 5f 40 00 02 2e c2 34 f1 cb e5 a6 a3 fd fd 00 00 00 80",""
144,1258,"RPC","IN",137,13,"ServerJoin","id=137 bytes=13","66 00 00 00 00 00 00 05 45 61 7a 69 69",""
145,1258,"RPC","IN",72,6,"SetPlayerColor","id=72 bytes=6","66 00 ff 83 7f 7f",""
146,1258,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 ad 00 73 7f c0 00 19 5c 62 f0 cd de 89 91 4f 1d 1e 90 80 00 00 00 00 d2 5f 40 00 02 ac ca 2c f3 cb e7 8a 9b fd fd 00 00 00 80",""
147,1259,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf ae 00 00 00 15 54 e5 b0 e3 79 09 91 6c 24 9f 10 80 00 00 00 00 c6 db 00 00 00 00 00 00 01 28 00 04 11",""
148,1259,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 ae 00 72 7f c0 00 0b 1c 22 f0 d0 de 89 91 4b 5d 1e 90 80 00 00 00 02 ba 63 40 00 01 88 81 18 f0 0b ea be 9b fd fd 00 00 00 80",""
149,1281,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4b 00 00 00 14 e1 e6 30 c3 4a 49 51 5c 9d 9f 50 80 00 00 00 02 8f fe 00 00 00 00 00 00 01 a5 04 04 80",""
150,1281,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 ad 00 70 7f c0 00 3e 9b a2 f0 d3 de 89 91 47 dd 1e 90 80 00 00 00 02 2a 53 40 00 00 ff fc fc f2 33 eb be 93 fd fd 00 00 00 80",""
151,1281,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 92 00 00 00 19 24 63 70 da e4 c9 91 47 23 5e 90 80 00 00 00 03 07 35 c0 00 00 00 00 00 01 a5 04 04 80",""
152,1281,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf a6 00 00 00 32 2a 23 30 fa d3 c9 91 60 20 9e 90 84 00 00 00 00 88 0f c0 00 00 00 00 00 01 28 00 04 11",""
153,1282,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","60 00",""
154,1282,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","60 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
155,1305,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 ad 00 6f bf c0 00 29 5b 62 f0 d7 9e 89 91 44 1d 1e 90 80 00 00 00 00 4a 57 40 00 02 8a 25 68 f3 e7 e3 3a a7 fd fd 00 00 00 80",""
156,1328,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4f 00 00 00 23 be 26 b0 e1 f7 49 91 7b 67 1f 10 80 00 00 00 02 58 c5 c0 00 00 00 00 00 01 a5 04 e8 80",""
157,1328,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 ab 80 6d bf c0 00 3a da a2 f0 df 5e 89 91 7c 1c de 90 80 00 00 00 02 a6 47 40 00 03 1d 95 94 f0 d7 e3 d6 af fd fd 00 00 00 80",""
158,1347,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 55 00 00 00 0a e6 e8 30 db d3 c9 d1 7b 67 1f 10 84 00 00 00 00 13 15 80 00 00 00 00 00 01 28 00 04 11",""
159,1348,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 a9 00 6c 3f c0 00 22 1a 62 f0 e3 9e 89 91 78 1c de 90 80 00 00 00 03 a6 2f 40 00 02 39 95 98 f3 1f dc 76 b7 fd fd 00 00 00 80",""
160,1368,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","ae 00",""
161,1368,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","ae 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
162,1369,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 60 00 00 00 26 94 e5 b0 f3 00 49 d1 6c 24 9f 10 80 00 00 00 02 2a 1d c0 00 00 00 00 00 01 fb 04 e8 80",""
163,1369,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 a6 00 6a 7f c0 00 05 1a 22 f0 e8 9e 89 91 73 9c de 90 80 00 00 00 02 5e 13 40 00 01 9c 91 dc f0 ab d6 1e cf fd fd 00 00 00 80",""
164,1395,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 a3 00 68 7f c0 00 2a 19 a2 f0 ee 9e 89 91 6f 9c de 90 80 00 00 00 02 4d f3 40 00 03 26 61 e4 f1 af c5 4a ef fd fd 00 00 00 80",""
165,1395,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 a1 00 67 3f c0 00 3b 59 22 f0 f7 1e 89 91 6a 9c de 90 80 00 00 00 03 35 df 40 00 03 0d 2e 74 f3 53 b1 7f 0f fd fd 00 00 00 80",""
166,1395,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 76 00 04 95 a2 c1 3e 76 c6 65 3f 11 0f 68 be 1e e7 8b c3 5d 54 26 45 f7 46 7f 42 00 00 00 00 3f ff",""
167,1415,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 9f 80 65 ff c0 00 0c 58 e2 f0 c0 9e c9 91 65 5c de 90 80 00 00 00 03 61 cf 40 00 02 f0 ca 8c f3 7b a7 bb 1f fd fd 00 00 00 80",""
168,1437,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 63 00 00 00 32 ca a3 30 d3 66 89 91 6c 9f 1e 90 84 00 00 00 00 aa c4 40 00 00 00 00 00 01 a5 04 e8 80",""
