sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
543,3098,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 91 00 61 7f c2 00 3b e8 e7 30 eb a0 49 91 77 52 1f 10 80 00 00 00 00 b2 d3 00 00 03 d7 ff d4 f7 cb fd fa 0f fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
544,3118,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 93 00 61 bf c2 00 04 65 e7 30 ec a0 49 91 7a 12 1f 10 80 00 00 00 01 92 df 00 00 02 c3 8b e8 f7 f7 fc be 07 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
545,3143,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 5b 00 00 00 0e fc 66 b0 e8 7d 89 91 7b 67 1f 10 84 00 00 00 01 0a e2 00 00 00 00 00 00 01 28 00 04 11",""
546,3144,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 93 80 61 ff c2 00 03 a2 a7 30 e9 e0 49 91 72 52 1f 10 80 00 00 00 02 86 e3 00 00 03 d7 ff ec f7 cf fe 75 f3 fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
547,3144,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 02 00 00 00 2d a2 e3 70 ee 9a 89 91 77 a3 1e 90 80 00 00 00 00 8a aa c0 00 00 00 00 00 01 a5 04 e8 80",""
548,3144,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 53 00 00 00 25 a7 a8 30 fc 98 09 d1 7a e7 1f 10 84 00 00 00 02 ba 42 c0 00 02 aa b8 98 ed 73 ea 42 97 fd fd a5 04 04 80",""
549,3144,"PACKET","IN",207,59,"PlayerSync","id=207 bytes=59","cf 70 00 95 80 62 3f c2 00 02 1f 67 30 e5 a0 49 91 66 92 1f 10 80 00 00 00 03 8e ef 00 00 00 1f cf f0 f7 93 ff 55 eb fd ff ff fe 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 80",""
550,3144,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 97 00 00 00 3d e7 a8 30 e4 09 c9 d1 7b 67 1f 10 84 00 00 00 00 0f 03 e8 00 00 00 00 00 01 28 00 04 11",""
551,3164,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 3d 00 00 00 32 67 a8 30 d0 79 49 91 7b 67 1f 10 84 00 00 00 00 e6 f1 c0 00 00 00 00 00 01 28 00 04 11",""
552,3184,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1f 00 00 00 26 a3 e3 70 c2 1d 89 91 42 a3 5e 90 80 00 00 00 02 c2 27 00 00 00 00 00 00 01 28 00 04 11",""
