sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1630,11029,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 5b 00 00 00 07 c2 e6 f0 dc f9 09 91 7b 67 1f 10 80 00 00 00 01 0b e2 00 00 00 00 00 00 01 a5 04 e8 80",""
1631,11048,"PACKET","OUT",205,9,"UNKNOWN_PACKET","id=205 bytes=9","cd b8 4a 04 00 00 00 00 00",""
1632,11091,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 08 00 00 00 2c d3 29 70 e4 0a ca 91 5c bf de 90 84 00 00 00 01 db ff c0 00 0c 00 00 00 01 13 04 04 80",""
1633,11091,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1b 00 00 00 14 4b 23 30 e7 5e 49 91 72 1f 1e 90 84 00 00 00 03 f6 d3 00 00 00 00 00 00 01 28 00 04 11",""
1634,11091,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7c 00 00 00 2e 67 68 30 c9 79 09 91 7b 67 1f 10 84 00 00 00 03 5a 96 40 00 00 00 00 00 01 28 00 04 11",""
1635,11091,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 58 8c 18 c3 a7 b0 24 45 72 ce 7e 42",""
1636,11091,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 15 00 00 00 0d a7 68 30 e3 bc 89 91 7b 67 1f 10 84 00 00 00 03 e6 8d 80 00 00 00 00 00 01 28 00 04 11",""
1637,11091,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 65 00 6a 70 47 6b 2e 8d 11 5c 33 cb 92 44 52 ea a7 e4 28 8b b2 23 fe cf f1 78 45 48 16 40 7f 00 00",""
1638,11091,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 20 00 23 f0 0d 10 2b 0f ed 5b 87 2c 36 33 a2 24 5a 22 27 94 2f 90 65 03 d5 e6 65 df d2 48 36 80 3a 00 50",""
1639,11092,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 3c 00 12 34 47 0c 3e 08 d1 7a bf 61 84 15 be 3f 36 73 c3 f7 74 22 45 9c c4 7e 42 00 00 00 00 3f 36",""
